condition,family,training_maps,unique_sources_within_condition,unique_scenario_ids_within_condition,dig_cells_min,dig_cells_mean,dig_cells_max,accepted_cells_mean,maps_with_obstacles,obstacle_cells_mean,maps_with_no_dump_exterior
fnd-proc-ring3x,foundation,96,96,96,129,255.062,334,888.01,0,0.0,0
fnd-proc-side1-road,foundation,96,96,96,129,255.062,334,572.76,0,0.0,96
fnd-slab-apron-c1p2,foundation,96,96,96,122,174.312,248,210.229,0,0.0,0
fnd-slab-apron-c1p6,foundation,96,96,96,122,174.312,248,288.812,0,0.0,0
fnd-slab-apron-c2x,foundation,96,96,96,122,174.312,248,350.625,0,0.0,0
fnd-slab-apron-c3x,foundation,96,96,96,122,174.312,248,525.854,0,0.0,0
fnd-slab-apron-d12,foundation,96,96,96,122,174.312,248,398.792,0,0.0,0
fnd-slab-apron-d16,foundation,96,96,96,122,174.312,248,401.844,0,0.0,0
fnd-slab-apron-near,foundation,96,96,96,122,174.312,248,396.75,0,0.0,0
fnd-slab-lg-ring3x,foundation,96,96,96,328,333.469,339,1168.073,0,0.0,0
fnd-slab-ring3x,foundation,96,96,96,122,174.312,248,612.917,0,0.0,0
fnd-slab-ring3x-obj,foundation,96,96,96,122,174.312,248,612.135,96,67.146,0
fnd-slab-ring3x-obj1,foundation,96,96,96,122,174.312,248,606.875,96,25.906,0
fnd-slab-ring3x-road,foundation,96,96,96,122,174.312,248,612.115,0,0.0,96
fnd-slab-side1,foundation,96,96,96,122,174.312,248,401.521,0,0.0,0
fnd-slab-side1-obj,foundation,96,96,96,122,174.312,248,400.323,96,69.01,0
fnd-slab-split,foundation,96,96,96,122,174.312,248,403.594,0,0.0,0
fnd-strips-ring3x,foundation,96,96,96,96,203.417,304,721.083,0,0.0,0
trn-net3-side1-road,trench,96,96,96,67,86.74,105,337.917,0,0.0,96
trn-net3-side2,trench,96,96,96,67,86.74,105,385.562,0,0.0,0
trn-net3-side2-s,trench,96,96,96,41,50.031,60,205.594,0,0.0,0
trn-net4-side1-road,trench,96,96,96,115,139.104,165,460.781,0,0.0,96
trn-net4-side2,trench,96,96,96,115,139.104,165,560.188,0,0.0,0
trn-net4-side2-s,trench,96,96,96,53,71.229,86,300.521,0,0.0,0
trn-seg2-side2,trench,96,96,96,63,81.073,115,373.875,0,0.0,0
trn-seg3-side2,trench,96,96,96,80,105.729,160,499.531,0,0.0,0
trn-straight-altsides,trench,96,93,96,44,67.854,100,286.885,0,0.0,0
trn-straight-side1,trench,96,93,96,44,67.854,100,306.115,0,0.0,0
trn-straight-side1-tight,trench,96,93,96,44,67.854,100,197.562,0,0.0,0
trn-straight-side2,trench,96,93,96,44,67.854,100,384.25,0,0.0,0
trn-tee-side2,trench,96,96,96,71,93.062,120,522.031,0,0.0,0
trn-tee-side2-s,trench,96,96,96,50,62.906,81,263.312,0,0.0,0
fnd-slab-allfree,foundation,96,96,96,122,174.312,248,3921.688,0,0.0,0
trn-straight-allfree,trench,96,93,93,44,67.854,100,4028.146,0,0.0,0
v7-fnd-slab-adjacent,foundation,96,96,96,418,603.26,792,2808.917,0,0.0,0
v7-fnd-irregular-adjacent,foundation,96,96,96,211,471.031,735,2770.854,0,0.0,0
v7-fnd-courtyard-adjacent,foundation,96,96,96,249,330.031,428,2533.281,0,0.0,0
v7-fnd-bearing-walls-adjacent,foundation,96,96,96,316,408.594,518,2729.344,0,0.0,0
v7-fnd-pads-adjacent,foundation,96,96,96,101,121.719,144,982.365,0,0.0,0
v7-fnd-courtyard-pads-adjacent,foundation,96,96,96,260,335.448,441,2566.802,0,0.0,0
v7-trn-straight-adjacent,trench,96,96,96,53,71.333,109,582.594,0,0.0,0
v7-trn-dogleg-adjacent,trench,96,96,96,55,72.844,100,593.104,0,0.0,0
v7-trn-tee-adjacent,trench,96,96,96,78,98.688,136,800.49,0,0.0,0
v7-trn-cross-adjacent,trench,96,96,96,100,124.115,171,1010.031,0,0.0,0
v7-trn-double-t-adjacent,trench,96,96,96,97,114.542,150,934.417,0,0.0,0
v7-trn-network3-adjacent,trench,96,96,96,117,144.156,166,1166.792,0,0.0,0
v7-trn-disconnected-pair-adjacent,trench,96,96,96,72,87.281,113,708.385,0,0.0,0
